sgRNA	gene	lib	input	d5	d15-rep1	d15-rep2	d15-rep3	d15-rep4	d15-rep5	spleen1	spleen2	spleen3	spleen4	spleen5	bm1	bm2	bm3	bm4	bm5	men1	men2	men3	men4	men5
gRNA_1343	Bap1	17790.0	8689.0	21239.0	180.0	25492.0	42613.0	4343.0	1676.0	11738.0	18303.0	23245.0	31962.0	8256.0	24068.0	9267.0	62486.0	7885.0	16048.0	18503.0	8634.0	1173.0	5203.0	3641.0
gRNA_1376	Bcl2	14635.0	13687.0	12849.0	165.0	21810.0	27291.0	3538.0	1633.0	6117.0	8042.0	10095.0	16665.0	5951.0	12544.0	2294.0	3815.0	3871.0	11176.0	53482.0	5165.0	2169.0	1138.0	2021.0
gRNA_1381	Bcl2	19694.0	11015.0	24722.0	387.0	22586.0	37384.0	4739.0	3097.0	11276.0	8418.0	3718.0	31269.0	6468.0	25727.0	12532.0	12375.0	8593.0	24942.0	43947.0	4533.0	1197.0	19043.0	15960.0
gRNA_1382	Bcl2	15363.0	6530.0	16886.0	451.0	47264.0	49303.0	5619.0	5241.0	4710.0	7823.0	5265.0	21534.0	1666.0	14196.0	22328.0	7513.0	5368.0	6447.0	3491.0	3.0	1131.0	13383.0	734.0
gRNA_1383	Bcl2	19917.0	15631.0	19021.0	1284.0	43561.0	52769.0	6697.0	6429.0	8540.0	22402.0	12234.0	28573.0	9062.0	16275.0	69664.0	21436.0	11586.0	19541.0	8752.0	706.0	14183.0	9818.0	4371.0
gRNA_1551	Braf	34568.0	44973.0	52257.0	457.0	69881.0	79703.0	6568.0	3133.0	14245.0	17628.0	37629.0	32890.0	11942.0	25764.0	10315.0	14706.0	10437.0	22196.0	8507.0	23404.0	29123.0	9079.0	21946.0
gRNA_1726	Card11	11924.0	11609.0	14273.0	128.0	13579.0	38105.0	2011.0	914.0	6145.0	10643.0	9161.0	27832.0	5192.0	21072.0	23783.0	16670.0	8450.0	15404.0	11119.0	691.0	52067.0	8641.0	2252.0
gRNA_1977	Cd79a	15610.0	9383.0	31194.0	361.0	21540.0	32335.0	2812.0	1132.0	8858.0	5126.0	5587.0	16860.0	6568.0	16622.0	7501.0	19370.0	5441.0	18154.0	22486.0	1106.0	25.0	6688.0	45807.0
gRNA_2134	Chek2	13882.0	15672.0	18720.0	212.0	17004.0	55628.0	2521.0	901.0	7143.0	8498.0	7338.0	32194.0	6990.0	25257.0	8578.0	16220.0	8292.0	6945.0	14349.0	2225.0	492.0	2107.0	15690.0
gRNA_2265	Crebbp	20219.0	13061.0	19344.0	434.0	28429.0	56642.0	3171.0	3067.0	7177.0	8175.0	28699.0	30274.0	8403.0	12068.0	7973.0	55922.0	6853.0	15357.0	9080.0	674.0	2702.0	6738.0	3735.0
gRNA_2385	Csf3r	38230.0	30584.0	46735.0	724.0	57139.0	99761.0	11015.0	5384.0	21487.0	26369.0	41799.0	58723.0	20611.0	69846.0	60296.0	59750.0	20319.0	32089.0	34937.0	9376.0	22984.0	21993.0	8913.0
gRNA_2401	Ctcf	17580.0	11953.0	14590.0	167.0	23528.0	37112.0	3421.0	1689.0	3655.0	6475.0	9390.0	15965.0	5124.0	11799.0	810.0	878.0	3971.0	14160.0	6276.0	2.0	15816.0	3667.0	814.0
gRNA_2474	Ctnnb1	11782.0	7621.0	9777.0	279.0	7486.0	26091.0	1727.0	1074.0	12806.0	4915.0	4670.0	17998.0	5746.0	12207.0	3045.0	16558.0	2945.0	5367.0	3274.0	1083.0	225.0	748.0	1129.0
gRNA_2569	Daxx	16751.0	10136.0	44819.0	878.0	81145.0	103498.0	9321.0	8084.0	14679.0	25687.0	32104.0	63898.0	7090.0	46327.0	11139.0	18838.0	18747.0	26654.0	16280.0	1979.0	2729.0	8096.0	124147.0
gRNA_2658	Dis3	21341.0	16597.0	26417.0	726.0	49307.0	72631.0	7166.0	4620.0	10787.0	14404.0	61055.0	39099.0	10152.0	19939.0	20883.0	25046.0	17123.0	30282.0	47533.0	50087.0	14442.0	11886.0	10491.0
gRNA_2703	Dnmt3a	14759.0	14273.0	23815.0	517.0	53585.0	85693.0	5896.0	3802.0	13637.0	19916.0	21362.0	34196.0	11086.0	19913.0	13828.0	8819.0	12947.0	11251.0	15181.0	68129.0	6756.0	12544.0	20704.0
gRNA_2747	Dnmt3a	15078.0	10957.0	22120.0	207.0	28711.0	55284.0	5385.0	1474.0	12225.0	15761.0	21050.0	33885.0	11201.0	10151.0	10000.0	30117.0	11811.0	50704.0	23194.0	2064.0	2297.0	9095.0	8114.0
gRNA_2775	Dnmt3a	21895.0	13634.0	45656.0	1306.0	78118.0	132593.0	15781.0	10435.0	25210.0	25505.0	18048.0	72683.0	14029.0	58237.0	29577.0	44917.0	14426.0	36958.0	59301.0	4135.0	7555.0	4180.0	7720.0
gRNA_2810	Dnmt3a	24191.0	14674.0	38052.0	1291.0	89318.0	104791.0	12129.0	10493.0	10733.0	24179.0	40251.0	37687.0	5623.0	20470.0	21836.0	14442.0	16868.0	26507.0	29591.0	24373.0	39605.0	10680.0	4698.0
gRNA_3011	Egfr	26205.0	23572.0	41798.0	572.0	65392.0	123362.0	7363.0	3572.0	20065.0	17977.0	30894.0	54569.0	12667.0	65384.0	10621.0	51787.0	12406.0	34720.0	45498.0	66434.0	86170.0	29491.0	7400.0
gRNA_3012	Egfr	16179.0	15947.0	37581.0	158.0	31510.0	41378.0	4417.0	1277.0	13475.0	17715.0	28017.0	50821.0	11110.0	30176.0	12484.0	35815.0	18423.0	46379.0	16325.0	2217.0	1684.0	21897.0	76442.0
gRNA_3031	Eif1ad19	25831.0	18011.0	24179.0	139.0	34488.0	57941.0	5701.0	1122.0	15750.0	12722.0	20829.0	48536.0	11346.0	24077.0	22498.0	17849.0	8489.0	30510.0	46249.0	21647.0	6496.0	10341.0	17150.0
gRNA_3084	Ep300	5923.0	4674.0	13524.0	85.0	8653.0	27309.0	909.0	422.0	2743.0	4144.0	11627.0	10672.0	2835.0	18280.0	21177.0	24614.0	3394.0	7385.0	1101.0	2091.0	7159.0	850.0	14782.0
gRNA_3086	Ep300	10932.0	9184.0	26202.0	477.0	28296.0	57799.0	4458.0	2500.0	11336.0	17639.0	12167.0	39401.0	6750.0	27752.0	55021.0	26098.0	8492.0	14376.0	18372.0	5566.0	9699.0	11885.0	22010.0
gRNA_3107	Ep300	15194.0	9568.0	25837.0	296.0	23720.0	61195.0	3437.0	1964.0	11720.0	12984.0	16581.0	31126.0	9537.0	27720.0	9844.0	32405.0	8212.0	40374.0	35108.0	27807.0	1434.0	5508.0	46919.0
gRNA_3522	Erbb3	20924.0	8649.0	28605.0	768.0	48168.0	97175.0	10899.0	5999.0	14152.0	18137.0	23523.0	43713.0	8809.0	20515.0	12083.0	10656.0	14348.0	25990.0	43216.0	18221.0	6450.0	2871.0	3248.0
gRNA_3523	Erbb3	15133.0	12891.0	27312.0	359.0	26269.0	57619.0	4414.0	3622.0	11081.0	14212.0	36402.0	33819.0	11543.0	15867.0	13859.0	11944.0	11389.0	9681.0	45387.0	6101.0	1018.0	6962.0	4562.0
gRNA_3524	Erbb3	18729.0	19409.0	28499.0	403.0	34268.0	64384.0	7037.0	2373.0	9390.0	9754.0	15596.0	39599.0	5994.0	23735.0	7129.0	18103.0	7904.0	26028.0	30875.0	618.0	1299.0	10832.0	81619.0
gRNA_3525	Erbb3	16402.0	14120.0	22920.0	115.0	19873.0	35370.0	3131.0	994.0	11241.0	12117.0	10784.0	31390.0	7704.0	13270.0	5728.0	13348.0	9571.0	43785.0	4146.0	3390.0	902.0	12966.0	17996.0
gRNA_3570	Erbb3	26907.0	20828.0	42051.0	527.0	57103.0	107207.0	8212.0	4138.0	15613.0	19379.0	27970.0	59481.0	12151.0	29935.0	12846.0	26437.0	19096.0	33776.0	29370.0	3086.0	14938.0	3739.0	30145.0
gRNA_3579	Erbb3	10075.0	8422.0	22196.0	409.0	27258.0	43282.0	5569.0	5038.0	4998.0	5842.0	14426.0	17253.0	2884.0	28994.0	9011.0	17757.0	7694.0	18634.0	16502.0	2059.0	1293.0	9047.0	1779.0
gRNA_3580	Erbb3	17984.0	12294.0	32287.0	662.0	50986.0	76177.0	6724.0	3633.0	16078.0	13002.0	19228.0	69451.0	6188.0	36831.0	5891.0	34137.0	10066.0	21867.0	19591.0	301.0	4164.0	13520.0	6904.0
gRNA_3677	Ercc2	47268.0	38019.0	56136.0	845.0	82057.0	157282.0	9619.0	7008.0	24277.0	22052.0	58722.0	77176.0	18897.0	46411.0	22159.0	44062.0	36449.0	43969.0	36541.0	9673.0	403806.0	14556.0	19037.0
gRNA_3686	Ercc2	19462.0	18156.0	30696.0	283.0	32902.0	70912.0	5073.0	1962.0	14333.0	9952.0	35568.0	42764.0	12330.0	43980.0	4275.0	20852.0	7102.0	10533.0	35808.0	986.0	6.0	15312.0	7918.0
gRNA_3698	Ercc2	37379.0	32198.0	58003.0	573.0	78058.0	140479.0	9914.0	5350.0	24579.0	30225.0	36937.0	78713.0	12357.0	100639.0	25616.0	23051.0	20543.0	57834.0	57635.0	117870.0	55141.0	9628.0	14956.0
gRNA_3703	Ercc2	21048.0	10527.0	13303.0	420.0	21764.0	62994.0	2813.0	2270.0	5397.0	7663.0	19284.0	18368.0	6739.0	4448.0	10770.0	22093.0	3527.0	17364.0	3790.0	1760.0	12652.0	692.0	1002.0
gRNA_3905	Etv6	15474.0	14212.0	19122.0	332.0	28214.0	72135.0	4121.0	2314.0	11632.0	12522.0	19970.0	28088.0	11850.0	35263.0	4911.0	18549.0	12892.0	9730.0	34783.0	3296.0	2281.0	5245.0	20105.0
gRNA_3906	Etv6	7784.0	6408.0	5521.0	48.0	9258.0	12213.0	332.0	521.0	1286.0	748.0	1152.0	4137.0	3466.0	4110.0	515.0	4003.0	3594.0	9325.0	514.0	398.0	2.0	222.0	2375.0
gRNA_3909	Etv6	26147.0	17124.0	32142.0	314.0	33117.0	60264.0	4338.0	1916.0	22545.0	16812.0	12038.0	46017.0	13127.0	59179.0	17066.0	32031.0	14326.0	47817.0	23527.0	12986.0	737.0	690.0	6449.0
gRNA_4033	Fat1	33074.0	25632.0	59622.0	1492.0	123021.0	152908.0	18903.0	9315.0	31211.0	33479.0	86150.0	87549.0	20079.0	49503.0	36817.0	56090.0	20769.0	34689.0	70318.0	2936.0	30891.0	3978.0	10539.0
gRNA_4195	Fgf4	61290.0	42384.0	46608.0	1416.0	79916.0	101969.0	15532.0	13294.0	25700.0	44694.0	113932.0	85611.0	20708.0	47631.0	13611.0	21324.0	23128.0	34618.0	59620.0	31077.0	16725.0	4825.0	50877.0
gRNA_4440	Flt3	34580.0	20067.0	43784.0	1198.0	92057.0	99947.0	14896.0	6478.0	30504.0	15277.0	31220.0	91751.0	27364.0	63012.0	13196.0	14747.0	14615.0	79150.0	37958.0	7474.0	35996.0	14598.0	7357.0
gRNA_4461	Flt3	12618.0	11598.0	27198.0	588.0	27102.0	53502.0	3104.0	1939.0	7149.0	8086.0	13694.0	30818.0	7635.0	22480.0	978.0	4985.0	10971.0	11618.0	36270.0	3182.0	38339.0	21225.0	9455.0
gRNA_4577	Foxa1	19979.0	9108.0	20458.0	420.0	20739.0	42246.0	4366.0	2438.0	7361.0	8921.0	18891.0	29664.0	7527.0	14497.0	5436.0	12850.0	6944.0	8675.0	10577.0	5827.0	33924.0	7015.0	5590.0
gRNA_4578	Foxa1	10818.0	6237.0	15716.0	109.0	9612.0	30697.0	2774.0	1086.0	3930.0	7257.0	12002.0	19692.0	5645.0	14778.0	9331.0	14968.0	13022.0	10829.0	8486.0	957.0	236.0	2722.0	3590.0
gRNA_4621	Foxo1	6263.0	4186.0	5454.0	55.0	4581.0	9110.0	1352.0	1302.0	2060.0	7493.0	2530.0	14181.0	1020.0	2340.0	779.0	1882.0	2432.0	1848.0	512.0	940.0	3872.0	2104.0	1580.0
gRNA_4628	Foxo1	15811.0	8409.0	15251.0	206.0	17296.0	42549.0	2076.0	827.0	4291.0	9697.0	6246.0	21613.0	2508.0	8548.0	10144.0	1912.0	1581.0	1273.0	5573.0	1506.0	2960.0	6305.0	488.0
gRNA_4735	Gata2	24340.0	16733.0	27979.0	2307.0	77149.0	84642.0	9691.0	6136.0	16305.0	16427.0	28362.0	31734.0	12110.0	24116.0	5378.0	21637.0	15081.0	23884.0	34495.0	2191.0	5258.0	5239.0	4021.0
gRNA_4770	Gata3	21303.0	14379.0	24334.0	304.0	37319.0	63070.0	5814.0	2858.0	7056.0	16662.0	11995.0	24912.0	9028.0	39428.0	5297.0	12121.0	13014.0	33580.0	22209.0	2041.0	16013.0	8498.0	58435.0
gRNA_4782	Gata3	13260.0	8145.0	20808.0	347.0	31617.0	42638.0	4375.0	2904.0	11985.0	16413.0	18106.0	34239.0	14040.0	48475.0	3466.0	14519.0	19586.0	20666.0	13505.0	18014.0	18488.0	4798.0	9842.0
gRNA_4829	Gli1	27584.0	18881.0	28845.0	3857.0	48724.0	69552.0	7397.0	10252.0	13209.0	18699.0	28465.0	43889.0	9954.0	30294.0	13810.0	27227.0	14667.0	56999.0	22416.0	1703.0	30540.0	6432.0	10386.0
gRNA_4888	Gnas	6425.0	4862.0	4125.0	142.0	1612.0	8483.0	1001.0	637.0	2807.0	964.0	4345.0	6436.0	1177.0	2064.0	6.0	13620.0	2029.0	2649.0	2899.0	6.0	43.0	1635.0	159.0
gRNA_5194	Idh2	30694.0	15431.0	27782.0	595.0	21310.0	76042.0	5092.0	7693.0	78971.0	51545.0	37076.0	92753.0	30003.0	49291.0	11815.0	44496.0	21575.0	24165.0	251223.0	5249.0	2265.0	49831.0	23489.0
gRNA_5228	Igf1r	12005.0	11832.0	24523.0	265.0	25537.0	42480.0	3891.0	1294.0	11824.0	8077.0	40662.0	31707.0	8097.0	36226.0	5229.0	13866.0	6080.0	53194.0	14021.0	39820.0	263.0	4495.0	6358.0
gRNA_5236	Igf1r	22417.0	12003.0	27106.0	476.0	40049.0	39731.0	5107.0	3824.0	7606.0	5749.0	3920.0	29713.0	9108.0	26976.0	9387.0	8701.0	5830.0	15241.0	37320.0	2910.0	225.0	41441.0	42313.0
gRNA_5373	Inha	39064.0	19568.0	39145.0	689.0	51322.0	137092.0	8513.0	4709.0	25148.0	21444.0	24695.0	56575.0	7333.0	35141.0	9848.0	35467.0	11683.0	31242.0	103591.0	66072.0	6351.0	33535.0	6739.0
gRNA_5374	Inha	10777.0	7344.0	15832.0	290.0	30222.0	25808.0	2300.0	1920.0	7693.0	6957.0	12495.0	13833.0	7926.0	12877.0	701.0	3139.0	3711.0	6624.0	20906.0	1233.0	2463.0	1823.0	3697.0
gRNA_5501	Inppl1	22353.0	12190.0	26300.0	663.0	34427.0	55283.0	7822.0	6387.0	11320.0	5999.0	19007.0	23014.0	6826.0	20057.0	22124.0	15734.0	7694.0	30060.0	16876.0	14642.0	2727.0	3526.0	3319.0
gRNA_5621	Irf8	24588.0	12198.0	23292.0	472.0	54672.0	69908.0	6341.0	4296.0	11851.0	8098.0	14947.0	38414.0	6011.0	11563.0	5693.0	11508.0	5136.0	12377.0	5587.0	21779.0	880.0	5631.0	7253.0
gRNA_5624	Irs1	27800.0	15976.0	28665.0	561.0	70484.0	71277.0	9072.0	5952.0	10176.0	14562.0	26377.0	31787.0	11567.0	40449.0	10067.0	6398.0	15170.0	41015.0	26157.0	3723.0	3945.0	9460.0	15799.0
gRNA_5625	Irs1	19133.0	14739.0	32806.0	451.0	45152.0	57945.0	4448.0	3526.0	14473.0	28877.0	17833.0	43353.0	11773.0	31261.0	17447.0	9005.0	13671.0	23979.0	27631.0	9605.0	24442.0	7623.0	18979.0
gRNA_5740	Jak1	21302.0	27456.0	26853.0	344.0	40728.0	70529.0	4659.0	2683.0	7214.0	13530.0	21839.0	39179.0	12025.0	33286.0	26110.0	29061.0	8073.0	13246.0	4610.0	11094.0	595.0	5009.0	10824.0
gRNA_6080	Keap1	17547.0	10785.0	38487.0	1062.0	61112.0	85035.0	11340.0	7073.0	17502.0	26298.0	44454.0	56577.0	12717.0	54744.0	9908.0	76641.0	21359.0	44793.0	36108.0	3621.0	31919.0	4004.0	11123.0
gRNA_6081	Keap1	15880.0	9775.0	25446.0	618.0	21039.0	53808.0	3875.0	3222.0	4573.0	7792.0	13366.0	17112.0	5813.0	19542.0	25915.0	4994.0	9756.0	27360.0	19195.0	882.0	4355.0	6336.0	5169.0
gRNA_6087	Keap1	20977.0	10804.0	28553.0	853.0	55066.0	104985.0	6966.0	6159.0	10677.0	15847.0	15426.0	33635.0	8395.0	27016.0	4548.0	23714.0	18915.0	34703.0	8303.0	3821.0	3962.0	8837.0	2315.0
gRNA_6111	Kit	23120.0	18418.0	27884.0	502.0	36327.0	75376.0	6545.0	3129.0	10977.0	13579.0	41212.0	55476.0	10449.0	30888.0	10245.0	30683.0	25270.0	48162.0	10345.0	26892.0	2191.0	9771.0	33490.0
gRNA_6125	Kit	8308.0	4259.0	9189.0	73.0	11138.0	16398.0	1708.0	467.0	43728.0	8435.0	3955.0	12454.0	4378.0	6051.0	4193.0	9312.0	2696.0	17201.0	12698.0	1065.0	148.0	1737.0	753.0
gRNA_6472	Kmt2d	9997.0	6356.0	17388.0	252.0	32092.0	48224.0	4087.0	2842.0	4779.0	8012.0	9006.0	18455.0	4640.0	6762.0	16439.0	9828.0	4426.0	12784.0	4345.0	1462.0	612.0	1709.0	15787.0
gRNA_6480	Kmt2d	8612.0	8343.0	7482.0	138.0	14406.0	16402.0	1708.0	783.0	2695.0	5352.0	2358.0	5841.0	4540.0	14624.0	4337.0	1425.0	4433.0	7068.0	5735.0	1177.0	3.0	224.0	1191.0
gRNA_6629	Kmt2d	11795.0	8941.0	21815.0	371.0	30891.0	54592.0	3779.0	3321.0	10181.0	15539.0	33997.0	24202.0	9504.0	22614.0	2357.0	54832.0	8232.0	15665.0	38214.0	5524.0	1117.0	2389.0	5484.0
gRNA_6712	Kras	23047.0	16744.0	41271.0	590.0	54611.0	117118.0	9820.0	5863.0	15591.0	13122.0	17100.0	90180.0	14662.0	53855.0	5975.0	12024.0	55846.0	50178.0	72513.0	27961.0	2004.0	5978.0	6857.0
gRNA_6743	Lats1	22722.0	20475.0	34251.0	1102.0	60916.0	101000.0	7880.0	8849.0	17093.0	22337.0	30465.0	49081.0	14101.0	63270.0	30149.0	29109.0	15035.0	21577.0	16298.0	17869.0	19224.0	35940.0	39143.0
gRNA_6745	Lats1	26353.0	16461.0	36335.0	536.0	51819.0	56393.0	6976.0	4140.0	13126.0	18080.0	39000.0	30850.0	13675.0	25374.0	46238.0	27364.0	15402.0	35571.0	47848.0	12539.0	20332.0	5359.0	10015.0
gRNA_6781	Lck	21082.0	15003.0	28449.0	444.0	41960.0	85967.0	6881.0	3382.0	16293.0	10604.0	41699.0	46615.0	13621.0	32989.0	4984.0	46632.0	13880.0	16075.0	20573.0	9320.0	4227.0	10772.0	4333.0
gRNA_6782	Lck	6669.0	5338.0	10516.0	93.0	6393.0	11588.0	2260.0	664.0	4901.0	3829.0	7793.0	10724.0	2917.0	9978.0	5496.0	3255.0	2304.0	9873.0	7774.0	615.0	6888.0	542.0	1292.0
gRNA_6797	Lyn	20829.0	15670.0	28610.0	775.0	47346.0	80419.0	9654.0	6363.0	13135.0	9364.0	14024.0	38705.0	4449.0	22204.0	9972.0	9009.0	13821.0	33685.0	19618.0	23648.0	860.0	5613.0	15388.0
gRNA_6833	Map2k1	13901.0	9423.0	20755.0	319.0	24319.0	33828.0	3370.0	3096.0	6628.0	5290.0	15885.0	43468.0	4266.0	6793.0	5714.0	24664.0	6246.0	55708.0	5471.0	1080.0	2779.0	11536.0	4707.0
gRNA_6834	Map2k1	13467.0	6837.0	14131.0	326.0	19758.0	40239.0	4011.0	2550.0	6339.0	6149.0	3349.0	10418.0	6471.0	6709.0	931.0	5632.0	4592.0	5940.0	984.0	6221.0	4.0	3594.0	3287.0
gRNA_6835	Map2k1	24576.0	14035.0	26220.0	557.0	26625.0	74724.0	5000.0	3831.0	9983.0	11265.0	25396.0	34488.0	9028.0	35015.0	9052.0	8802.0	5010.0	15400.0	14448.0	26712.0	699.0	8131.0	128522.0
gRNA_6842	Map2k1	18024.0	14125.0	28977.0	489.0	40517.0	86433.0	5216.0	3984.0	11214.0	10873.0	23310.0	31804.0	5243.0	28236.0	9588.0	4799.0	5166.0	18731.0	36876.0	4679.0	18909.0	10933.0	45532.0
gRNA_6849	Map2k2	46893.0	45760.0	40209.0	843.0	65814.0	140861.0	7597.0	4985.0	20765.0	15188.0	23209.0	35440.0	7043.0	54411.0	15572.0	12666.0	9516.0	24208.0	33273.0	2443.0	20757.0	3308.0	11366.0
gRNA_7393	Mtor	30187.0	21571.0	38470.0	1031.0	72055.0	103663.0	11353.0	7516.0	40139.0	83485.0	16714.0	104443.0	39595.0	91515.0	78937.0	23991.0	44549.0	58400.0	68010.0	100448.0	5330.0	16156.0	15035.0
gRNA_7429	Mtor	12140.0	8304.0	27832.0	719.0	55609.0	102992.0	9615.0	5191.0	28680.0	37394.0	40491.0	142267.0	13837.0	74214.0	33156.0	21059.0	46408.0	28498.0	10228.0	5031.0	13514.0	15062.0	5581.0
gRNA_7481	Myc	21199.0	6695.0	8166.0	103.0	14064.0	29421.0	1982.0	776.0	5600.0	5213.0	11490.0	21092.0	5271.0	14411.0	1829.0	2888.0	6549.0	12094.0	9082.0	5507.0	807.0	6066.0	7001.0
gRNA_7510	Myd88	19115.0	22879.0	33236.0	397.0	27936.0	60634.0	4164.0	1337.0	15948.0	14962.0	22105.0	38447.0	6687.0	30286.0	7380.0	7962.0	11480.0	19422.0	41732.0	6242.0	14940.0	2166.0	16353.0
gRNA_7511	Myd88	15212.0	6110.0	19918.0	349.0	28579.0	48344.0	4169.0	3318.0	6712.0	6225.0	23524.0	21444.0	5389.0	19969.0	2000.0	19818.0	15022.0	9997.0	11124.0	6601.0	7227.0	2571.0	4077.0
gRNA_7512	Myd88	31492.0	17671.0	27534.0	1072.0	73375.0	59891.0	10957.0	7412.0	12167.0	17711.0	42615.0	35126.0	14560.0	17184.0	16735.0	28659.0	11947.0	36473.0	26782.0	1356.0	3955.0	16840.0	136757.0
gRNA_7513	Myd88	27986.0	14859.0	26016.0	575.0	46346.0	80257.0	4673.0	3917.0	11631.0	7327.0	16475.0	37702.0	7722.0	20153.0	12563.0	21722.0	4660.0	19717.0	28502.0	9934.0	8463.0	13688.0	4229.0
gRNA_7514	Myd88	23305.0	9647.0	25661.0	518.0	29805.0	45590.0	5023.0	4386.0	8881.0	10365.0	12219.0	22335.0	4012.0	19194.0	19737.0	14909.0	8764.0	14258.0	9438.0	11311.0	25401.0	2854.0	5115.0
gRNA_7558	Ncoa3	22428.0	13189.0	18780.0	610.0	34601.0	48966.0	7055.0	4496.0	12002.0	21730.0	30642.0	36565.0	11783.0	20632.0	15069.0	34120.0	8039.0	12966.0	9225.0	7803.0	25888.0	1477.0	4528.0
gRNA_7812	Nfe2	18476.0	8128.0	15621.0	265.0	24501.0	42360.0	3710.0	1693.0	9128.0	12107.0	7351.0	36383.0	4570.0	11827.0	9204.0	11385.0	5546.0	26376.0	10656.0	1287.0	5128.0	8795.0	17207.0
gRNA_7813	Nfe2	26718.0	15766.0	30592.0	802.0	51635.0	116654.0	8563.0	6957.0	14409.0	7997.0	31755.0	57645.0	11709.0	107789.0	2653.0	28691.0	19273.0	33688.0	47129.0	2675.0	5107.0	46114.0	13886.0
gRNA_7816	Nfe2l2	29305.0	34803.0	40698.0	730.0	65016.0	90754.0	9879.0	5159.0	17579.0	8359.0	14159.0	43639.0	6625.0	51795.0	5742.0	13406.0	19477.0	26460.0	58845.0	1190.0	3243.0	12604.0	7727.0
gRNA_7839	Nkx2-1	21508.0	12935.0	29444.0	333.0	32730.0	63596.0	3519.0	2926.0	13768.0	13159.0	21770.0	23851.0	8850.0	22602.0	27151.0	10446.0	10270.0	42413.0	56268.0	35430.0	5213.0	11603.0	12310.0
gRNA_7843	Nkx2-1	12792.0	6142.0	9590.0	240.0	16509.0	25900.0	2852.0	4430.0	6651.0	5432.0	6715.0	26557.0	3540.0	16627.0	6474.0	4768.0	6903.0	9237.0	5823.0	571.0	0.0	8655.0	620.0
gRNA_7902	Notch1	26950.0	15461.0	28502.0	1396.0	65839.0	76925.0	9580.0	9120.0	10935.0	19601.0	15810.0	37743.0	7011.0	14583.0	27065.0	19027.0	3682.0	30509.0	35637.0	9304.0	3856.0	598.0	6936.0
gRNA_7918	Notch1	34604.0	34782.0	70471.0	1148.0	124376.0	126223.0	12373.0	6673.0	24452.0	34582.0	65464.0	67565.0	15922.0	18263.0	44278.0	24646.0	14275.0	64025.0	46659.0	6366.0	38463.0	15553.0	12169.0
gRNA_8228	Nsd1	37620.0	25608.0	50074.0	917.0	91004.0	97839.0	11439.0	6037.0	22227.0	29353.0	33183.0	90942.0	18853.0	76643.0	31769.0	28056.0	30593.0	72230.0	84475.0	2592.0	111931.0	11724.0	22755.0
